season,judge_save,weeks_with_elim,CBR_EMR,CBP_EMR,CBR_B2CR,CBP_B2CR,flip_rate
1,False,3,0.6666666666666666,1.0,,,0.3333333333333333
2,False,7,0.8571428571428571,0.5714285714285714,,,0.2857142857142857
3,False,7,0.5714285714285714,0.7142857142857143,,,0.42857142857142855
4,False,8,0.625,0.625,,,0.25
5,False,9,0.6666666666666666,0.5555555555555556,,,0.5555555555555556
6,False,8,0.5,0.875,,,0.375
7,False,8,0.5,0.375,,,0.25
8,False,9,0.5555555555555556,0.5555555555555556,,,0.3333333333333333
9,False,9,0.6666666666666666,0.4444444444444444,,,0.2222222222222222
10,False,8,0.625,0.875,,,0.375
11,False,9,0.6666666666666666,0.7777777777777778,,,0.3333333333333333
12,False,8,0.75,0.875,,,0.125
13,False,9,0.7777777777777778,0.7777777777777778,,,0.1111111111111111
14,False,8,0.75,0.625,,,0.125
15,False,7,0.14285714285714285,0.2857142857142857,,,0.2857142857142857
16,False,8,0.875,1.0,,,0.125
17,False,9,0.6666666666666666,0.6666666666666666,,,0.2222222222222222
18,False,7,0.5714285714285714,0.2857142857142857,,,0.2857142857142857
19,False,10,0.8,0.8,,,0.1
20,False,8,0.375,0.375,,,0.625
21,False,7,0.2857142857142857,0.7142857142857143,,,0.5714285714285714
22,False,7,0.42857142857142855,0.5714285714285714,,,0.2857142857142857
23,False,9,0.6666666666666666,0.5555555555555556,,,0.1111111111111111
24,False,8,0.5,0.5,,,0.375
25,False,8,0.625,0.75,,,0.125
26,False,3,0.0,0.0,,,0.3333333333333333
27,False,7,0.42857142857142855,0.2857142857142857,,,0.8571428571428571
28,True,7,,,0.7142857142857143,0.7142857142857143,0.5714285714285714
29,True,9,,,1.0,0.5555555555555556,0.5555555555555556
30,True,8,,,0.875,0.625,0.5
31,True,9,,,1.0,0.7777777777777778,0.6666666666666666
32,True,9,,,0.7777777777777778,0.7777777777777778,0.6666666666666666
33,True,6,,,1.0,1.0,0.5
34,True,8,,,0.875,0.75,0.5
