section,metric,value,count,CBR_EMR,CBP_EMR,CBR_B2CR,CBP_B2CR,flip_rate,flip_strength_mean,flip_strength_median,uncertainty_mean,weeks_with_elim,threshold,CBR_count,CBP_count,tie_count,total,season,judge_save,CBR,CBP,metric_gap,label,note
overall,CBR_EMR,0.6153846153846154,,,,,,,,,,,,,,,,,,,,,,
overall,CBP_EMR,0.6153846153846154,,,,,,,,,,,,,,,,,,,,,,
overall,CBR_B2CR,0.875,,,,,,,,,,,,,,,,,,,,,,
overall,CBP_B2CR,0.8928571428571429,,,,,,,,,,,,,,,,,,,,,,
overall,flip_all,0.32196969696969696,,,,,,,,,,,,,,,,,,,,,,
overall,flip_no_judge_save,0.34134615384615385,,,,,,,,,,,,,,,,,,,,,,
overall,flip_judge_save,0.25,,,,,,,,,,,,,,,,,,,,,,
flip_driver_all,judge,0.058823529411764705,5.0,,,,,,,,,,,,,,,,,,,,,
flip_driver_all,fan,0.09411764705882353,8.0,,,,,,,,,,,,,,,,,,,,,
flip_driver_all,mixed,0.8470588235294118,72.0,,,,,,,,,,,,,,,,,,,,,
flip_driver_no_judge_save,judge,0.04225352112676056,3.0,,,,,,,,,,,,,,,,,,,,,
flip_driver_no_judge_save,fan,0.07042253521126761,5.0,,,,,,,,,,,,,,,,,,,,,
flip_driver_no_judge_save,mixed,0.8873239436619719,63.0,,,,,,,,,,,,,,,,,,,,,
flip_driver_judge_save,judge,0.14285714285714285,2.0,,,,,,,,,,,,,,,,,,,,,
flip_driver_judge_save,fan,0.21428571428571427,3.0,,,,,,,,,,,,,,,,,,,,,
flip_driver_judge_save,mixed,0.6428571428571429,9.0,,,,,,,,,,,,,,,,,,,,,
flip_strength,mean,2.6588235294117646,,,,,,,,,,,,,,,,,,,,,,
flip_strength,median,3.0,,,,,,,,,,,,,,,,,,,,,,
flip_strength_no_judge_save,mean,3.084507042253521,,,,,,,,,,,,,,,,,,,,,,
flip_strength_no_judge_save,median,3.0,,,,,,,,,,,,,,,,,,,,,,
flip_strength_judge_save,mean,0.5,,,,,,,,,,,,,,,,,,,,,,
flip_strength_judge_save,median,0.0,,,,,,,,,,,,,,,,,,,,,,
uncertainty_focus,low,,,0.7,0.8,0.8703703703703703,0.8888888888888888,0.25,0.875,0.0,0.02933367686448892,64.0,,,,,,,,,,,,
uncertainty_focus,high,,,0.9117647058823529,0.9117647058823529,,,0.17647058823529413,2.3333333333333335,2.0,0.9197797054747158,34.0,,,,,,,,,,,,
tie_sensitivity,,,,,,,,,,,,,0.03,10.0,13.0,11.0,34.0,,,,,,,
tie_sensitivity,,,,,,,,,,,,,0.05,10.0,13.0,11.0,34.0,,,,,,,
tie_sensitivity,,,,,,,,,,,,,0.07,10.0,13.0,11.0,34.0,,,,,,,
typical_season,EMR,,,,,,,0.6666666666666666,,,,,,,,,,1.0,False,0.3333333333333333,1.0,0.6666666666666667,高翻转/高差异,制度差异显著，规则选择对结果影响大。
typical_season,EMR,,,,,,,0.6666666666666666,,,,,,,,,,8.0,False,0.6666666666666666,0.5555555555555556,0.11111111111111105,高翻转,预测集合分歧较频繁。
typical_season,EMR,,,,,,,0.42857142857142855,,,,,,,,,,21.0,False,0.42857142857142855,0.8571428571428571,0.42857142857142855,高差异,一致性指标差距明显。
typical_season,B2CR,,,,,,,0.0,,,,,,,,,,29.0,True,1.0,1.0,0.0,低翻转/趋同,两种规则给出接近的淘汰结论。
typical_season,B2CR,,,,,,,0.375,,,,,,,,,,30.0,True,1.0,0.75,0.25,中等差异,规则差异存在但不极端。
