term,coef,std_err,ci_lower,ci_upper
Intercept,-0.859,0.258,-1.354,-0.346
age_z,-0.209,0.022,-0.252,-0.166
C(region)[Midwest],-0.357,0.076,-0.497,-0.202
C(region)[Northeast],-0.131,0.067,-0.259,0.002
C(region)[South],-0.349,0.065,-0.473,-0.221
C(region)[Unknown],-1.255,0.36,-1.953,-0.558
C(region)[West],-0.344,0.065,-0.476,-0.222
C(season)[2],-0.369,0.22,-0.776,0.084
C(season)[3],-0.429,0.213,-0.836,-0.007
C(season)[4],-0.563,0.214,-0.976,-0.138
C(season)[5],-0.855,0.216,-1.29,-0.443
C(season)[6],-1.089,0.218,-1.514,-0.667
C(season)[7],-0.764,0.212,-1.176,-0.346
C(season)[8],-1.058,0.217,-1.49,-0.641
C(season)[9],-0.988,0.211,-1.405,-0.585
C(season)[10],-0.748,0.215,-1.18,-0.34
C(season)[11],-0.808,0.216,-1.22,-0.379
C(season)[12],-0.772,0.219,-1.216,-0.355
C(season)[13],-0.782,0.218,-1.204,-0.359
C(season)[14],-1.049,0.218,-1.467,-0.618
C(season)[15],-0.908,0.216,-1.332,-0.487
C(season)[16],-1.272,0.218,-1.668,-0.825
C(season)[17],-1.079,0.214,-1.494,-0.667
C(season)[18],-1.109,0.221,-1.556,-0.691
C(season)[19],-1.118,0.22,-1.541,-0.695
C(season)[20],-0.966,0.219,-1.379,-0.53
C(season)[21],-1.093,0.216,-1.515,-0.672
C(season)[22],-0.878,0.22,-1.298,-0.446
C(season)[23],-1.005,0.214,-1.422,-0.592
C(season)[24],-0.777,0.218,-1.199,-0.349
C(season)[25],-1.024,0.222,-1.458,-0.594
C(season)[26],-0.391,0.258,-0.869,0.141
C(season)[27],-0.932,0.223,-1.366,-0.493
C(season)[28],-1.093,0.219,-1.524,-0.674
C(season)[29],-1.263,0.216,-1.687,-0.848
C(season)[30],-1.342,0.218,-1.761,-0.914
C(season)[31],-1.246,0.219,-1.67,-0.812
C(season)[32],-1.077,0.22,-1.485,-0.629
C(season)[33],-0.806,0.226,-1.242,-0.361
C(season)[34],-1.101,0.232,-1.56,-0.655
week_z,0.216,0.018,0.182,0.251
