ballroom_partner,effect,rank
Lindsay Arnold,0.0526298233490975,1
Jenna Johnson,0.03983780986453219,2
Mark Ballas,0.03927882577068155,3
Valentin Chmerkovskiy,0.03768146845678065,4
Derek Hough,0.03266402762608956,5
Dmitry Chaplin,0.027705363291431355,6
Charlotte Jorgensen,0.012969489544435978,7
Tristan MacManus,0.009451501817979388,8
Witney Carson,0.007861070524510556,9
Emma Slater,0.007574972766840204,10
Sasha Farber,0.007334117700904174,11
Artem Chigvintsev,0.0055364732793120415,12
Val Chmerkovskiy (Joey Graziadei week 9),0.0054631005779781135,13
Brandon Armstrong,0.0054341038186774574,14
Sharna Burgess,0.005387945694512693,15
Tyne Stecklein,0.005307171171072552,16
Peta Murgatroyd,0.0034142081316205263,17
Kym Johnson,0.0033665434111494526,18
Tony Dovolani,0.0027962316025159782,19
Allison Holker,0.0025200937987879847,20
Karina Smirnoff,0.0015071662734283857,21
Kym Herjavec,0.001178834196712837,22
Henry Byalikov,0.001148677309808373,23
Daniella Karagach,0.0006182896400614462,24
Anna Demidova,0.00041126348511858255,25
Corky Ballas,0.0001826176249945712,26
Keo Motsepe,0.00011216092694767962,27
Cheryl Burke,-0.001461093066924734,28
Nick Kosovich,-0.00176796582858481,29
Inna Brayer,-0.0018870987129126495,30
Alan Bersten,-0.0023322666618300187,31
Brian Fortuna,-0.0025248401336485328,32
Fabian Sanchez,-0.0026292805213904854,33
Britt Stewart,-0.0032893296131824823,34
Witney Carson (Xoshitl Gomez week 9),-0.0035462254857611905,35
Val Chmerkovskiy,-0.003950392945840528,36
Pasha Pashkov,-0.005008554738199109,37
Anna Trebunskaya,-0.006154418027356646,38
Jesse DeSoto,-0.006325957304070031,39
Andrea Hale,-0.006520686681344021,40
Elena Grinenko,-0.006533803618554414,41
Maksim Chmerkoskiy,-0.006690322090078381,42
Ezra Sosa (Apolo Anton Ohno week 9),-0.007060555574835177,43
Koko Iwasaki,-0.0074483794832640934,44
Alan Bersten (Rashad Jennings week 9),-0.008100716956648645,45
Ezra Sosa,-0.00936098904478466,46
Daniella Karagach (Rumer Willis week 9),-0.0110119068214124,47
Gleb Savchenko,-0.011070714723354594,48
Edyta Sliwinska,-0.011338288290290722,49
Ashly DelGrosso,-0.012352753817527814,50
Emma Slater/Kaitlyn Bristowe (week 9),-0.012427040194979365,51
Alec Mazo,-0.012596563113112087,52
Jan Ravnik,-0.014080265846915872,53
Damian Whitewood,-0.016388948370772538,54
Louis van Amstel,-0.017565253270271124,55
Lacey Schwimmer,-0.019396333787207596,56
Julianne Hough,-0.020032842861623865,57
Rylee Arnold,-0.022207109061694767,58
Chelsie Hightower,-0.02271583826225086,59
Jonathan Roberts,-0.023596616745356826,60
