term,coef,std_err,z,p_value,ci_lower,ci_upper
Intercept,20.369116039210642,1.91130094584569,10.657199790270576,1.6138342584428866e-26,16.62303502173575,24.115197056685535
C(region)[T.Midwest],2.0598518280755087,1.6678812111301549,1.2350111113007591,0.21682636887233586,-1.2091352762306409,5.328838932381658
C(region)[T.Northeast],2.03001831970159,1.644946824521798,1.2340935825033348,0.2171680346098377,-1.1940182128446621,5.254054852247842
C(region)[T.Other],2.063806938088836,1.6590624997214107,1.243959729326285,0.2135143845826839,-1.1878958094661227,5.315509685643795
C(region)[T.South],2.2664775467679563,1.6488755680272866,1.374559482059382,0.16926805743597473,-0.9652591815535492,5.498214275089461
C(region)[T.West],1.9227716520521545,1.6502975978632068,1.165106011510739,0.24397608381768654,-1.3117522035326963,5.157295507637006
C(season)[T.2],0.5572226027239741,1.0820219860814737,0.5149826989578532,0.6065651098673859,-1.5635015204762142,2.6779467259241625
C(season)[T.3],0.34252924642363564,1.0673118898867229,0.32092704079216183,0.7482656813622415,-1.749363618025721,2.434422110872992
C(season)[T.4],-1.0486287030149002,1.0364537379565306,-1.0117467520377452,0.3116591555110071,-3.0800407010516153,0.9827832950218147
C(season)[T.5],0.48136205729317294,1.0552236397062467,0.4561706534807869,0.6482672666253444,-1.5868382721663405,2.5495623867526866
C(season)[T.6],-0.1576491591164597,1.0289379317653022,-0.15321542169797178,0.8782283965054651,-2.174330447703584,1.8590321294706644
C(season)[T.7],-0.9088504276852368,1.0577082969595502,-0.8592637783950313,0.3901950031870647,-2.9819205958751516,1.1642197405046781
C(season)[T.8],-1.5776368877402176,1.0243168875680424,-1.5401843969261122,0.12351541211881832,-3.585261096129744,0.4299873206493092
C(season)[T.9],0.34898284075043184,1.0263420644391907,0.3400258576960124,0.7338370552466082,-1.6626106413688695,2.360576322869733
C(season)[T.10],-1.6664348671543303,1.0586639658647452,-1.5740923663092108,0.11546609712179903,-3.741378111979572,0.4085083776709113
C(season)[T.11],-0.22608645431506005,1.0468973635120957,-0.21595856689961745,0.8290200442697826,-2.2779675823087047,1.8257946736785844
C(season)[T.12],-0.07394851517936422,1.045786362999039,-0.07071091935765869,0.9436278302027095,-2.1236521221806117,1.9757550918218834
C(season)[T.13],-1.1187920136410583,1.0583934419346581,-1.0570662754636844,0.29048134128389336,-3.1932050413063733,0.9556210140242565
C(season)[T.14],1.463974987183115,1.046821079703341,1.3984958992208976,0.1619642032497547,-0.587756627292767,3.515706601658997
C(season)[T.15],2.9160132969007906,1.0330846984402786,2.8226275167014894,0.004763187571998257,0.8912044949784219,4.940822098823159
C(season)[T.16],-2.0063182222697384,1.043537826921233,-1.922611879043247,0.05452881103093941,-4.0516147795405475,0.03897833500107062
C(season)[T.17],0.4632940006101529,1.0348862366620208,0.44767626063371657,0.654386856805063,-1.5650457513436027,2.4916337525639083
C(season)[T.18],6.783384668454062,1.0424421471815768,6.5072049195191495,7.656194220405485e-11,4.740235604011569,8.826533732896554
C(season)[T.19],7.625908996204774,1.03935618011922,7.3371469204426525,2.1819505126387486e-13,5.588808316061977,9.66300967634757
C(season)[T.20],7.5167618419588615,1.0555938366755453,7.120884549337575,1.0723659139385758e-12,5.447835939772337,9.585687744145385
C(season)[T.21],1.729597950923238,1.0415007568635695,1.6606785348210795,0.09677802668417472,-0.3117060224005659,3.770901924247042
C(season)[T.22],0.8674315605663472,1.053059868020508,0.8237248298113419,0.41009592777155623,-1.1965278543183515,2.9313909754510457
C(season)[T.23],4.532020442111589,1.0335375931844213,4.38495945575432,1.1600738333440094e-05,2.5063239828019137,6.557716901421265
C(season)[T.24],7.2507577955022375,1.0551995947509343,6.871456198022595,6.3549805774348865e-12,5.182604593289146,9.318910997715328
C(season)[T.25],0.6884612605277314,1.0655824000336591,0.6460891813772305,0.5182216013260483,-1.400041866097993,2.7769643871534555
C(season)[T.26],7.776326832982267,1.2313015349684557,6.3155341012236175,2.6923000864783257e-10,5.363020170335208,10.189633495629327
C(season)[T.27],0.15112121844753357,1.0498837822931733,0.14394090183720348,0.8855471369847205,-1.9066131827997768,2.208855619694844
C(season)[T.28],-0.8369370684231593,1.0486129121270302,-0.7981372904568733,0.42479082349252983,-2.892180609915803,1.2183064730694841
C(season)[T.29],-1.1260379136825098,1.0329771998617516,-1.0900898043376108,0.27567358705178846,-3.150636022262576,0.8985601948975566
C(season)[T.30],6.546056288042022,1.0377495328511654,6.307934699866409,2.8278346832611145e-10,4.512104578680472,8.580007997403573
C(season)[T.31],8.203850353765878,1.0395226766738355,7.891939769910328,2.97525321691074e-15,6.166423346372485,10.24127736115927
C(season)[T.32],2.2671219499299915,1.048452288773785,2.162351090464497,0.030591124459973133,0.21219322442478417,4.322050675435198
C(season)[T.33],2.49547205861792,1.0826354726976521,2.3049975005897774,0.021166713396255664,0.37354552374502514,4.617398593490815
C(season)[T.34],2.154618887408335,1.0707492719249148,2.0122534228157063,0.04419322958101305,0.0559888779630171,4.253248896853653
celebrity_age_during_season,-0.10842819948334931,0.007489370230850623,-14.477612421496529,1.6782615487240517e-47,-0.12310709540270295,-0.09374930356399566
week,1.1249705678651403,0.0282098875590067,39.87859099090828,0.0,1.0696802042415625,1.180260931488718
