z_quantile,p_quantile,interception_amei,interception_cbr,interception_cbp
0.1,0.7,0.7586206896551724,0.06896551724137931,0.3793103448275862
0.1,0.75,0.75,0.1,0.3
0.1,0.8,0.6875,0.125,0.25
0.1,0.85,0.625,0.25,0.125
0.1,0.9,0.7142857142857143,0.2857142857142857,0.14285714285714285
0.15,0.7,0.625,0.05555555555555555,0.3055555555555556
0.15,0.75,0.5769230769230769,0.07692307692307693,0.23076923076923078
0.15,0.8,0.5789473684210527,0.10526315789473684,0.21052631578947367
0.15,0.85,0.45454545454545453,0.18181818181818182,0.09090909090909091
0.15,0.9,0.7142857142857143,0.2857142857142857,0.14285714285714285
0.2,0.7,0.5875,0.05,0.275
0.2,0.75,0.5714285714285714,0.07142857142857142,0.21428571428571427
0.2,0.8,0.5714285714285714,0.09523809523809523,0.19047619047619047
0.2,0.85,0.4166666666666667,0.16666666666666666,0.08333333333333333
0.2,0.9,0.625,0.25,0.125
0.25,0.7,0.49,0.04,0.24
0.25,0.75,0.4473684210526316,0.05263157894736842,0.18421052631578946
0.25,0.8,0.48148148148148145,0.07407407407407407,0.18518518518518517
0.25,0.85,0.3333333333333333,0.1111111111111111,0.1111111111111111
0.25,0.9,0.5,0.16666666666666666,0.16666666666666666
0.3,0.7,0.4,0.03333333333333333,0.2
0.3,0.75,0.3953488372093023,0.046511627906976744,0.16279069767441862
0.3,0.8,0.40625,0.0625,0.15625
0.3,0.85,0.2608695652173913,0.08695652173913043,0.08695652173913043
0.3,0.9,0.375,0.125,0.125
