coef,method,js_emr
0.2,AMEI,0.375
0.2,CBR,0.39285714285714285
0.2,CBP,0.39285714285714285
0.3,AMEI,0.39285714285714285
0.3,CBR,0.4107142857142857
0.3,CBP,0.4107142857142857
0.4,AMEI,0.39285714285714285
0.4,CBR,0.4107142857142857
0.4,CBP,0.4107142857142857
0.5,AMEI,0.3392857142857143
0.5,CBR,0.35714285714285715
0.5,CBP,0.375
0.6,AMEI,0.3392857142857143
0.6,CBR,0.35714285714285715
0.6,CBP,0.375
0.7,AMEI,0.3392857142857143
0.7,CBR,0.35714285714285715
0.7,CBP,0.375
0.8,AMEI,0.32142857142857145
0.8,CBR,0.3392857142857143
0.8,CBP,0.35714285714285715
