season,w_start,w_end,logistic_k,logistic_t0,emr_amei,b2cr_amei,interception_amei,spearman_amei,emr_cbr,emr_cbp,b2cr_cbr,b2cr_cbp,interception_cbr,interception_cbp,spearman_cbr,spearman_cbp
1,0.7,0.4,14.0,0.55,0.16666666666666666,,1.0,0.9876366832954252,0.16666666666666666,0.5,,,0.0,0.0,0.8373127753615074,0.6162081118668538
2,0.7,0.4,6.0,0.55,0.375,,,0.914008522004657,0.75,0.625,,,,,0.911206114092,0.8005017619332849
3,0.7,0.3,14.0,0.55,0.3,,0.3333333333333333,0.9066965032518097,0.3,0.5,,,0.3333333333333333,0.3333333333333333,0.8948628643198292,0.7479032489886748
4,0.7,0.4,6.0,0.55,0.3,,,0.9007628141132427,0.5,0.4,,,,,0.9072128307901741,0.8250861851509399
5,0.7,0.4,10.0,0.55,0.4,,1.0,0.968114074308426,0.4,0.7,,,0.0,0.0,0.8899486820772328,0.8776350664730288
6,0.7,0.4,6.0,0.55,0.5,,1.0,0.9749598184051169,0.8,0.8,,,0.0,1.0,0.9340326894816006,0.9512137470316062
7,0.7,0.4,10.0,0.55,0.4,,1.0,0.9678945704561471,0.6,0.4,,,0.0,1.0,0.9172920849207475,0.9185037610104096
8,0.7,0.4,6.0,0.55,0.36363636363636365,,,0.9061572935080728,0.5454545454545454,0.5454545454545454,,,,,0.9096993994326289,0.8846696370722428
9,0.7,0.4,6.0,0.55,0.2,,,0.8686264673577277,0.5,0.2,,,,,0.9068524653837498,0.8653981014544136
10,0.7,0.4,6.0,0.55,0.5,,1.0,0.9851108677118285,0.5,0.5,,,0.0,1.0,0.9225628842996976,0.9239612709672487
11,0.7,0.4,6.0,0.55,0.4,,,0.9661554540472477,0.5,0.5,,,,,0.8948158578309167,0.8899094049619624
12,0.7,0.4,6.0,0.55,0.4,,0.0,0.9181221384646271,0.6,0.7,,,0.0,0.0,0.897754076429534,0.8312973756885814
13,0.7,0.4,6.0,0.55,0.5,,,0.8922247468618492,0.5,0.6,,,,,0.8779877840667913,0.7609649989859463
14,0.7,0.4,10.0,0.55,0.3,,1.0,0.9377735668786101,0.5,0.4,,,0.0,0.0,0.9296517852203414,0.7295825742674545
15,0.7,0.4,10.0,0.55,0.1,,1.0,0.9339025333612376,0.2,0.1,,,0.0,0.0,0.8943779149201869,0.7323892764323647
16,0.7,0.4,6.0,0.55,0.7,,,0.9118815453281796,0.7,0.8,,,,,0.9532270851076085,0.9038089134270297
17,0.7,0.4,6.0,0.55,0.2727272727272727,,0.0,0.9047364629507487,0.36363636363636365,0.45454545454545453,,,0.0,0.0,0.8548123804154905,0.761615667470772
18,0.7,0.4,6.0,0.55,0.2,,0.0,0.9527039240711594,0.4,0.5,,,0.0,0.0,0.9238798572098741,0.8264816881699784
19,0.7,0.4,6.0,0.55,0.36363636363636365,,,0.9471411543313479,0.8181818181818182,0.5454545454545454,,,,,0.9202914486093866,0.87522366092702
20,0.7,0.4,10.0,0.55,0.2,,,0.9308936473746516,0.4,0.5,,,,,0.8753626504697316,0.8292309741580421
21,0.7,0.4,6.0,0.55,0.2727272727272727,,0.0,0.9404139592378816,0.18181818181818182,0.5454545454545454,,,0.0,0.0,0.8844651961926228,0.773033770015434
22,0.7,0.4,10.0,0.55,0.4,,1.0,0.9549704776338072,0.6,0.5,,,0.0,0.0,0.8911986832461143,0.7978634584118043
23,0.7,0.4,6.0,0.55,0.45454545454545453,,0.5,0.9370995398095135,0.7272727272727273,0.6363636363636364,,,0.0,0.0,0.9213203833556567,0.85713901116798
24,0.7,0.4,10.0,0.55,0.4,,,0.9525632076581484,0.4,0.4,,,,,0.8690963427577112,0.7461114390663057
25,0.7,0.4,10.0,0.55,0.4,,,0.9578684320229875,0.7,0.5,,,,,0.8752240216497003,0.9177617223014869
26,0.7,0.4,6.0,0.55,0.5,,,0.9954951265154914,0.5,0.5,,,,,0.9340146468669323,0.9177435587438108
27,0.7,0.4,10.0,0.55,0.0,,1.0,0.9677735770845646,0.3333333333333333,0.3333333333333333,,,1.0,0.0,0.8948093007062455,0.8167673136858227
28,0.7,0.4,10.0,0.55,,0.36363636363636365,0.0,0.9200700345376321,,,0.6363636363636364,0.6363636363636364,0.0,0.0,0.9043233860567625,0.7444698790266717
29,0.7,0.4,6.0,0.55,,0.7272727272727273,,0.9048292769854804,,,0.8181818181818182,0.8181818181818182,,,0.8899852178203179,0.7804849227802257
30,0.7,0.4,10.0,0.55,,0.5,,0.9287673987590569,,,0.7,0.6,,,0.8941830671536527,0.7439394168812892
31,0.7,0.4,10.0,0.55,,0.8,,0.9603769820218474,,,0.9,0.8,,,0.9615847902990593,0.9148357781521144
32,0.7,0.4,10.0,0.55,,0.36363636363636365,,0.9364589970461992,,,0.6363636363636364,0.7272727272727273,,,0.9404650017048606,0.852973066373717
33,0.7,0.4,10.0,0.55,,0.4444444444444444,,0.9511321874947881,,,0.5555555555555556,0.5555555555555556,,,0.9419916846555788,0.8882065849432049
34,0.7,0.4,10.0,0.55,,0.45454545454545453,0.5,0.9266449103328395,,,0.6363636363636364,0.7272727272727273,0.0,0.0,0.8934766553559079,0.7478311753952446
